Column,Unit,Description
f_ap_decam_y,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of The Dark Energy Camera (DECam) on Blanco."
ferr_ap_decam_y,uJy,Uncertainty on f_ap_decam_y.
m_decam_y,mag,Total AB magnitude in the I band of The Dark Energy Camera (DECam) on Blanco.
merr_decam_y,mag,Mean error on m_decam_y.
m_ap_decam_y,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of The Dark Energy Camera (DECam) on Blanco."
merr_ap_decam_y,mag,Mean error on m_ap_decam_y
flag_decam_y,mag,Flag set to true for sources for which niether the decam_y aperture nor total flux should not be used for SED fitting (see documentation).
f_decam_z,uJy,Total flux density in the I band of The Dark Energy Camera (DECam) on Blanco.
ferr_decam_z,uJy,Uncertainty on f_decam_z.
f_ap_decam_z,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of The Dark Energy Camera (DECam) on Blanco."
ferr_ap_decam_z,uJy,Uncertainty on f_ap_decam_z.
m_decam_z,mag,Total AB magnitude in the I band of The Dark Energy Camera (DECam) on Blanco.
merr_decam_z,mag,Mean error on m_decam_z.
m_ap_decam_z,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of The Dark Energy Camera (DECam) on Blanco."
merr_ap_decam_z,mag,Mean error on m_ap_decam_z
flag_decam_z,mag,Flag set to true for sources for which niether the decam_z aperture nor total flux should not be used for SED fitting (see documentation).
f_galex_fuv,uJy,Total flux density in the 100-200nm band of GALEX on The Galaxy Evolution Exporer (GALEX).
ferr_galex_fuv,uJy,Uncertainty on f_galex_fuv.
f_ap_galex_fuv,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the 100-200nm band of GALEX on The Galaxy Evolution Exporer (GALEX)."
ferr_ap_galex_fuv,uJy,Uncertainty on f_ap_galex_fuv.
m_galex_fuv,mag,Total AB magnitude in the 100-200nm band of GALEX on The Galaxy Evolution Exporer (GALEX).
merr_galex_fuv,mag,Mean error on m_galex_fuv.
m_ap_galex_fuv,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the 100-200nm band of GALEX on The Galaxy Evolution Exporer (GALEX)."
merr_ap_galex_fuv,mag,Mean error on m_ap_galex_fuv
flag_galex_fuv,mag,Flag set to true for sources for which niether the galex_fuv aperture nor total flux should not be used for SED fitting (see documentation).
f_galex_nuv,uJy,Total flux density in the 200-300nm band of GALEX on The Galaxy Evolution Exporer (GALEX).
ferr_galex_nuv,uJy,Uncertainty on f_galex_nuv.
f_ap_galex_nuv,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the 200-300nm band of GALEX on The Galaxy Evolution Exporer (GALEX)."
ferr_ap_galex_nuv,uJy,Uncertainty on f_ap_galex_nuv.
m_galex_nuv,mag,Total AB magnitude in the 200-300nm band of GALEX on The Galaxy Evolution Exporer (GALEX).
merr_galex_nuv,mag,Mean error on m_galex_nuv.
m_ap_galex_nuv,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the 200-300nm band of GALEX on The Galaxy Evolution Exporer (GALEX)."
merr_ap_galex_nuv,mag,Mean error on m_ap_galex_nuv
flag_galex_nuv,mag,Flag set to true for sources for which niether the galex_nuv aperture nor total flux should not be used for SED fitting (see documentation).
f_gpc1_g,uJy,Total flux density in the B band of The Pan-STARRS Gigapixel Camera on The Panoramic Survey Telescope and Rapid Response System (Pan-STARRS).
ferr_gpc1_g,uJy,Uncertainty on f_gpc1_g.
f_ap_gpc1_g,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the B band of The Pan-STARRS Gigapixel Camera on The Panoramic Survey Telescope and Rapid Response System (Pan-STARRS)."
ferr_ap_gpc1_g,uJy,Uncertainty on f_ap_gpc1_g.
m_gpc1_g,mag,Total AB magnitude in the B band of The Pan-STARRS Gigapixel Camera on The Panoramic Survey Telescope and Rapid Response System (Pan-STARRS).
merr_gpc1_g,mag,Mean error on m_gpc1_g.
m_ap_gpc1_g,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the B band of The Pan-STARRS Gigapixel Camera on The Panoramic Survey Telescope and Rapid Response System (Pan-STARRS)."
merr_ap_gpc1_g,mag,Mean error on m_ap_gpc1_g
flag_gpc1_g,mag,Flag set to true for sources for which niether the gpc1_g aperture nor total flux should not be used for SED fitting (see documentation).
f_gpc1_i,uJy,Total flux density in the I band of The Pan-STARRS Gigapixel Camera on The Panoramic Survey Telescope and Rapid Response System (Pan-STARRS).
ferr_gpc1_i,uJy,Uncertainty on f_gpc1_i.
f_ap_gpc1_i,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of The Pan-STARRS Gigapixel Camera on The Panoramic Survey Telescope and Rapid Response System (Pan-STARRS)."
ferr_ap_gpc1_i,uJy,Uncertainty on f_ap_gpc1_i.
m_gpc1_i,mag,Total AB magnitude in the I band of The Pan-STARRS Gigapixel Camera on The Panoramic Survey Telescope and Rapid Response System (Pan-STARRS).
merr_gpc1_i,mag,Mean error on m_gpc1_i.
m_ap_gpc1_i,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of The Pan-STARRS Gigapixel Camera on The Panoramic Survey Telescope and Rapid Response System (Pan-STARRS)."
merr_ap_gpc1_i,mag,Mean error on m_ap_gpc1_i
flag_gpc1_i,mag,Flag set to true for sources for which niether the gpc1_i aperture nor total flux should not be used for SED fitting (see documentation).
f_gpc1_r,uJy,Total flux density in the R band of The Pan-STARRS Gigapixel Camera on The Panoramic Survey Telescope and Rapid Response System (Pan-STARRS).
ferr_gpc1_r,uJy,Uncertainty on f_gpc1_r.
f_ap_gpc1_r,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the R band of The Pan-STARRS Gigapixel Camera on The Panoramic Survey Telescope and Rapid Response System (Pan-STARRS)."
ferr_ap_gpc1_r,uJy,Uncertainty on f_ap_gpc1_r.
m_gpc1_r,mag,Total AB magnitude in the R band of The Pan-STARRS Gigapixel Camera on The Panoramic Survey Telescope and Rapid Response System (Pan-STARRS).
merr_gpc1_r,mag,Mean error on m_gpc1_r.
m_ap_gpc1_r,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the R band of The Pan-STARRS Gigapixel Camera on The Panoramic Survey Telescope and Rapid Response System (Pan-STARRS)."
merr_ap_gpc1_r,mag,Mean error on m_ap_gpc1_r
flag_gpc1_r,mag,Flag set to true for sources for which niether the gpc1_r aperture nor total flux should not be used for SED fitting (see documentation).
f_gpc1_y,uJy,Total flux density in the I band of The Pan-STARRS Gigapixel Camera on The Panoramic Survey Telescope and Rapid Response System (Pan-STARRS).
ferr_gpc1_y,uJy,Uncertainty on f_gpc1_y.
f_ap_gpc1_y,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of The Pan-STARRS Gigapixel Camera on The Panoramic Survey Telescope and Rapid Response System (Pan-STARRS)."
ferr_ap_gpc1_y,uJy,Uncertainty on f_ap_gpc1_y.
m_gpc1_y,mag,Total AB magnitude in the I band of The Pan-STARRS Gigapixel Camera on The Panoramic Survey Telescope and Rapid Response System (Pan-STARRS).
merr_gpc1_y,mag,Mean error on m_gpc1_y.
m_ap_gpc1_y,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of The Pan-STARRS Gigapixel Camera on The Panoramic Survey Telescope and Rapid Response System (Pan-STARRS)."
merr_ap_gpc1_y,mag,Mean error on m_ap_gpc1_y
flag_gpc1_y,mag,Flag set to true for sources for which niether the gpc1_y aperture nor total flux should not be used for SED fitting (see documentation).
f_gpc1_z,uJy,Total flux density in the I band of The Pan-STARRS Gigapixel Camera on The Panoramic Survey Telescope and Rapid Response System (Pan-STARRS).
ferr_gpc1_z,uJy,Uncertainty on f_gpc1_z.
f_ap_gpc1_z,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of The Pan-STARRS Gigapixel Camera on The Panoramic Survey Telescope and Rapid Response System (Pan-STARRS)."
ferr_ap_gpc1_z,uJy,Uncertainty on f_ap_gpc1_z.
m_gpc1_z,mag,Total AB magnitude in the I band of The Pan-STARRS Gigapixel Camera on The Panoramic Survey Telescope and Rapid Response System (Pan-STARRS).
merr_gpc1_z,mag,Mean error on m_gpc1_z.
m_ap_gpc1_z,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of The Pan-STARRS Gigapixel Camera on The Panoramic Survey Telescope and Rapid Response System (Pan-STARRS)."
merr_ap_gpc1_z,mag,Mean error on m_ap_gpc1_z
flag_gpc1_z,mag,Flag set to true for sources for which niether the gpc1_z aperture nor total flux should not be used for SED fitting (see documentation).
